Keys,Description,en,fr,ar
app_title,The app's name as shown in system contexts like the home screen or app switcher.,Dinar Echange,Dinar Échange,دينار إيشانج
currencies_app_bar_title,A list of all available currencies in the app.,Currencies,Devises,العملات
settings_app_bar_title,Section to customize app preferences and configurations.,Settings,Paramètres,إعدادات
convert_app_bar_title,Option to convert values between dzd and currencies.,Convert,Convertir,تحويل
select_currency_app_bar_title,Option for users to choose their preferred currency.,Select Currency,Sélectionnez la devise,اختر العملة
trends_app_bar_title,Page displaying the latest trends and movements in different currencies.,Trends,Tendances,اتجاهات
close_button,Button or option to close the app or a specific section within the app.,Close,Fermer,إغلاق
auto_button,Option for automatic settings or operations within the app.,Auto,Auto,تلقائي
dark_button,Option to enable a dark color scheme for the app's interface.,Dark,Sombre,مظلم
light_button,Option to enable a light color scheme for the app's interface.,Light,Lumière,مضيء
languages_button,List of available languages,Languages,Langues,اللغات
chose_language_title,Option to select a language,Choose Language,Choisissez la langue,اختر اللغة
theme_title,Option for visual theme customization.,Theme,Thème,المظهر
general_title,Overall settings or information for the app.,General,Général,عام
rate_us_button,Invitation to rate the app.,Rate the App,Évaluez l'application,قيّم التطبيق
about_body,App's detailed description,"Thank you for using Dinar Echange, your tool for currency monitoring. We provide timely updates and strive to offer user-friendly features that support your financial tracking needs.","Merci d'utiliser Dinar Echange, votre outil de suivi des devises. Nous fournissons des mises à jour opportunes et nous efforçons d'offrir des fonctionnalités conviviales qui soutiennent vos besoins de suivi financier.","شكرًا لاستخدامك Dinar Echange، أداتك لمراقبة العملات. نحن نقدم تحديثات في الوقت المناسب ونسعى جاهدًا لتقديم ميزات سهلة الاستخدام تدعم احتياجاتك المالية."
about_app_button,About the App,About the App,À propos de l'application,حول التطبيق
one_month_button,Short time filter for viewing currency data over the past month.,1M,1M,1ش
six_months_button,Short time filter for viewing currency data over the past six months.,6M,6M,6ش
one_year_button,Short time filter for viewing currency data over the past year.,1Y,1Y,1س
two_years_button,Short time filter for viewing currency data over the past two years.,2Y,2Y,2س
add_selected_currencies_tooltip,Option to add selected currencies to the list|,Add Selected Currencies,Ajouter les devises sélectionnées,أضف العملات المختارة
no_currencies_message,Message for no currency data.,No currencies,Pas de devises,لا توجد عملات
errormessage_message,Detailed text explaining the error.,Unable to load the data. Please check your connection and try again.,Impossible de charger les données. Veuillez vérifier votre connexion et réessayer.,تعذر تحميل البيانات. يرجى التحقق من الاتصال والمحاولة مرة أخرى.
search_hint,Option to search,Search,Recherche,بحث
add_currencies_tooltip,Option to add currencies,Add Currencies,Ajouter des devises,إضافة العملات
switch_tooltip,Option to switch from buy to sell,Swap currencies,Échanger des devises,تبديل العملات
use_centime_tooltip,Option to switch to centime as counting method,Use centimes,Utiliser des centimes,استخدام السنتيم
reorder_tooltip,Option to reorder the items in the list,Reorder items,Réorganiser les articles,إعادة ترتيب العناصر
pull_refresh_tooltip,Option to fetch latest currencies information,Fetch latest currency info,Récupérer les dernières infos sur les devises,جلب أحدث معلومات العملة
centime_symbol,Algerian centime,centimes,centimes,سنتيم
dzd_symbol,Algerian dinar,DZD,DZD,دج
centime_explanation,Explanation of the term 'centime' in Algeria,"In Algerian society, 'centime' is informally used to simplify discussions about money. For example, if you hear something costs 1 million, it means it's 10,000 DZD","En Algérie, le terme 'centime' est utilisé de manière informelle pour représenter de plus petites quantités de monnaie. Par exemple, lorsque l'on dit que quelque chose coûte 1 million, cela signifie en réalité 10 000 DZD","في الجزائر، يُستخدم مصطلح 'سنتيم' غير الرسمي لتمثيل مبالغ أقل من العملة. على سبيل المثال، عندما يُقال أن شيئًا ما يكلف مليون، فإن ذلك يعني أنه بقيمة 10,000 دج."
why_centime_title,Title for centime use,The Usage of 'Centime,L'utilisation du 'Centime,استخدام 'السنتيم
currency_buy_sell_explanation,"Detailed explanation of the difference between buy and sell","The buy rate is the price at which you can purchase a currency, while the sell rate is what you can sell it for. For example, to buy 1 {currency_code}, it costs {buy_rate} DZD, and to sell 1 {currency_code}, you'll receive {sell_rate} DZD.","Le taux d'achat est le prix auquel vous pouvez acheter une devise, tandis que le taux de vente est le prix auquel vous pouvez la vendre. Par exemple, si vous voulez acheter 1 {currency_code}, cela vous coûtera {buy_rate} DZD, et si vous voulez vendre 1 Euro, vous recevrez {sell_rate} DZD.","سعر الشراء هو السعر الذي يمكنك به شراء عملة، بينما سعر البيع هو السعر الذي يمكنك به بيعها. على سبيل المثال، إذا أردت شراء 1 {currency_code}، فسيكلفك ذلك {buy_rate} دج، وإذا أردت بيع 1 {currency_code}، ستتلقى {sell_rate} دج."
terms_title,Title for the terms and conditions page,Terms and Conditions,Conditions générales,شروط وأحكام
continue_button,Button to proceed or accept conditions,Continue,Continuer,استمر
decline_button,Button to reject conditions or navigate back,Decline,Refuser,رفض
privacy_title,Title for the privacy policy page,Privacy Policy,Politique de confidentialité,سياسة الخصوصية
legal_title,Title for the legal section in the settings,Legal,Légal,قانوني
licenses,Word for licenses,Licenses,Licences,رخص
latest_updates_on,Latest updates on,Latest updates on,Dernières mises à jour le,آخر التحديثات في
parallel_market,Tab title for the non-official market,Parallel Market,Marché Parallèle,السوق الموازي
official_market,Tab title for the official market,Official Market,Marché Officiel,السوق الرسمي
retry,Retry button text,Retry,Réessayer,إعادة المحاولة
error_title,Title for generic error messages,"Something Went Wrong","Un problème est survenu","حدث خطأ ما"
error_message,Generic error message suggesting a retry,"Oops! Something didn't go as planned. Please try again.","Oups ! Quelque chose n'a pas fonctionné comme prévu. Veuillez réessayer.","أوه! لم تسر الأمور كما كان مخططًا لها. يرجى المحاولة مرة أخرى."
buy,Buy,Buy,Achat,شراء
sell,Sell,Sell,Vente,بيع
